Time, RES, VIRT, CPU
2022-03-04 22:59:04.616431, 4068, 719200, 440.0
2022-03-04 22:59:05.613080, 4068, 1702240, 1060.0
2022-03-04 22:59:06.591787, 4068, 2160992, 953.3
2022-03-04 22:59:07.607677, 4328, 2226528, 1293.0
2022-03-04 22:59:08.594571, 4328, 2226528, 946.7
2022-03-04 22:59:09.593537, 4328, 2226528, 966.7
2022-03-04 22:59:10.600058, 4328, 2226528, 846.7
2022-03-04 22:59:11.595932, 4328, 2226528, 1033.0
2022-03-04 22:59:12.575496, 4328, 2226528, 1087.0
2022-03-04 22:59:13.590450, 4328, 2226528, 1053.0
2022-03-04 22:59:14.607880, 4332, 2226528, 1027.0
2022-03-04 22:59:15.594526, 4332, 2226528, 993.3
2022-03-04 22:59:16.596184, 4332, 2226528, 940.0
2022-03-04 22:59:17.602573, 4332, 2226528, 846.7
2022-03-04 22:59:18.579771, 4336, 2226528, 953.3
2022-03-04 22:59:19.580202, 4336, 2226528, 980.0
2022-03-04 22:59:20.599401, 4368, 2226528, 940.0
2022-03-04 22:59:21.587750, 4368, 2226528, 626.7
2022-03-04 22:59:22.596190, 4368, 2226528, 786.7
2022-03-04 22:59:23.588160, 4436, 2226652, 920.0
2022-03-04 22:59:24.599842, 4492, 2226652, 840.0
2022-03-04 22:59:25.607757, 4528, 2226652, 1053.0
2022-03-04 22:59:26.595761, 4528, 2226652, 846.7
2022-03-04 22:59:27.595757, 4528, 2226652, 986.7
2022-03-04 22:59:28.594567, 4528, 2226652, 1240.0
2022-03-04 22:59:29.593343, 4664, 2226652, 873.3
2022-03-04 22:59:30.575647, 4664, 2226652, 1060.0
2022-03-04 22:59:31.606889, 4896, 2226652, 986.7
2022-03-04 22:59:32.595753, 4896, 2226652, 980.0
2022-03-04 22:59:33.614902, 5824, 2226652, 860.0
2022-03-04 22:59:34.584599, 5964, 2226652, 800.0
2022-03-04 22:59:35.575381, 7192, 2226780, 1000.0
2022-03-04 22:59:36.579495, 7544, 2226776, 1313.0
2022-03-04 22:59:37.581531, 9168, 2226776, 2200.0
2022-03-04 22:59:38.581260, 10256, 2226776, 2480.0
2022-03-04 22:59:39.577449, 15532, 2227060, 1260.0
2022-03-04 22:59:40.575366, 18016, 2227108, 1080.0
2022-03-04 22:59:41.577511, 19052, 2227100, 1060.0
2022-03-04 22:59:42.576151, 19172, 2227100, 1240.0
2022-03-04 22:59:43.580706, 28288, 2227716, 853.3
2022-03-04 22:59:44.576813, 36404, 2228192, 666.7
2022-03-04 22:59:45.575409, 37896, 2227772, 1000.0
2022-03-04 22:59:46.575445, 37204, 2227844, 1627.0
2022-03-04 22:59:47.575710, 42744, 2227976, 860.0
2022-03-04 22:59:48.575378, 46288, 2228492, 960.0
2022-03-04 22:59:49.575391, 47952, 2228472, 920.0
2022-03-04 22:59:50.575341, 49936, 2228996, 926.7
2022-03-04 22:59:51.579758, 47456, 2228996, 940.0
2022-03-04 22:59:52.579553, 47832, 2229128, 906.7
2022-03-04 22:59:53.575394, 51984, 2229200, 846.7
2022-03-04 22:59:54.575279, 53008, 2229148, 826.7
2022-03-04 22:59:55.575436, 52016, 2228552, 933.3
2022-03-04 22:59:56.575345, 56112, 2228936, 1240.0
2022-03-04 22:59:57.575438, 72816, 2230256, 726.7
2022-03-04 22:59:58.575876, 81656, 2231320, 806.7
2022-03-04 22:59:59.575641, 91480, 2230828, 1193.0
2022-03-04 23:00:00.575409, 100964, 2230828, 613.3
2022-03-04 23:00:01.575785, 102940, 2230828, 633.3
2022-03-04 23:00:02.575716, 106472, 2231144, 846.7
2022-03-04 23:00:03.575865, 108288, 2231408, 1207.0
2022-03-04 23:00:04.577402, 110896, 2229904, 620.0
2022-03-04 23:00:05.577244, 111984, 2231092, 540.0
2022-03-04 23:00:06.575265, 112404, 2231092, 1000.0
2022-03-04 23:00:07.575714, 113140, 2231388, 980.0
2022-03-04 23:00:08.575603, 114392, 2231388, 580.0
2022-03-04 23:00:09.575476, 114392, 2231388, 1173.0
2022-03-04 23:00:10.603272, 113064, 2230164, 1087.0
2022-03-04 23:00:11.581970, 116204, 2230956, 606.7
2022-03-04 23:00:12.575438, 117260, 2230956, 966.7
2022-03-04 23:00:13.575892, 123964, 2232276, 960.0
2022-03-04 23:00:14.575540, 127884, 2233000, 586.7
2022-03-04 23:00:15.575461, 127328, 2231764, 733.3
2022-03-04 23:00:16.581387, 132076, 2233348, 325.0
2022-03-04 23:00:17.575441, 137620, 2233348, 880.0
2022-03-04 23:00:18.575520, 131888, 2233344, 553.3
2022-03-04 23:00:19.580357, 133956, 2233344, 340.0
2022-03-04 23:00:20.580570, 137920, 2233344, 193.3
2022-03-04 23:00:21.576123, 140824, 2233344, 1000.0
2022-03-04 23:00:22.579508, 137324, 2233344, 686.7
2022-03-04 23:00:23.575472, 133532, 2233344, 1313.0
